round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss,handover
16,10,3,0.4208,29.9598,0,0
16,11,1,0.4208,10.0313,0,0
16,12,2,0.4208,9.88754,0,0
16,13,3,0.4208,10.0304,0,0
16,14,1,0.4208,30.0313,0,0
16,15,2,0.4208,29.959,0,0
16,16,2,0.4208,29.9598,0,0
16,17,2,0.4208,29.5304,0,0
16,18,3,0.4208,10.0304,0,0
16,19,3,0.4208,9.88754,0,0
17,0,3,0.4208,10.0304,0,0
17,1,3,0.4208,29.8875,0,0
17,2,3,0.4208,29.6733,0,0
17,3,2,0.4208,30.0321,0,0
17,4,2,0.4208,30.0313,0,0
17,5,1,0.4208,30.0313,0,0
17,6,2,0.4208,9.95897,0,0
17,7,3,0.4208,10.0304,0,0
17,8,3,0.4208,29.959,0,0
17,9,3,0.4208,9.95897,0,0
17,10,3,0.4208,29.9598,0,0
17,11,1,0.4208,10.0313,0,0
17,12,2,0.4208,9.88754,0,0
17,13,3,0.4208,10.0304,0,0
17,14,1,0.4208,30.0313,0,0
17,15,2,0.4208,29.959,0,0
17,16,2,0.4208,29.9598,0,0
17,17,2,0.4208,29.6161,0,0
17,18,3,0.4208,10.0304,0,0
17,19,3,0.4208,9.88754,0,0
18,0,3,0.4208,10.0304,0,0
18,1,3,0.4208,29.959,0,0
18,2,3,0.4208,29.6447,0,0
18,3,2,0.4208,30.0314,0,0
18,4,2,0.4208,30.0313,0,0
18,5,1,0.4208,30.0313,0,0
18,6,2,0.4208,9.95897,0,0
18,7,3,0.4208,9.91611,0,0
18,8,3,0.4208,29.959,0,0
18,9,3,0.4208,10.0304,0,0
18,10,3,0.4208,29.9598,0,0
18,11,1,0.4208,10.0306,0,0
18,12,2,0.4208,9.88754,0,0
18,13,3,0.4208,9.88754,0,0
18,14,2,0.4208,29.9163,0,1
18,15,2,0.4208,29.9597,0,0
18,16,2,0.4208,29.9598,0,0
18,17,2,0.4208,29.6447,0,0
18,18,3,0.4208,10.0304,0,0
18,19,3,0.4208,9.94468,0,0
19,0,3,0.4208,10.0304,0,0
19,1,3,0.4208,29.959,0,0
19,2,3,0.4208,29.6733,0,0
19,3,2,0.4208,30.0313,0,0
19,4,2,0.4208,30.0313,0,0
19,5,1,0.4208,30.0313,0,0
19,6,2,0.4208,9.95897,0,0
19,7,3,0.4208,9.88754,0,0
19,8,3,0.4208,29.959,0,0
19,9,3,0.4208,10.0304,0,0
19,10,3,0.4208,29.9598,0,0
19,11,1,0.4208,10.0304,0,0
19,12,2,0.4208,9.88754,0,0
19,13,3,0.4208,9.88754,0,0
19,14,2,0.4208,29.8875,0,0
19,15,2,0.4208,29.9598,0,0
19,16,2,0.4208,29.9598,0,0
19,17,2,0.4208,29.8884,0,0
19,18,3,0.4208,10.0304,0,0
19,19,3,0.4208,9.95897,0,0
20,0,3,0.4208,10.0304,0,0
20,1,3,0.4208,29.959,0,0
20,2,3,0.4208,29.6161,0,0
20,3,2,0.4208,30.0313,0,0
20,4,2,0.4208,30.0313,0,0
20,5,1,0.4208,30.0313,0,0
20,6,2,0.4208,9.95897,0,0
20,7,3,0.4208,9.88754,0,0
20,8,3,0.4208,29.959,0,0
20,9,3,0.4208,10.0304,0,0
20,10,3,0.4208,29.9598,0,0
20,11,1,0.4208,10.0304,0,0
20,12,2,0.4208,9.88754,0,0
20,13,3,0.4208,9.88754,0,0
20,14,2,0.4208,29.8875,0,0
20,15,2,0.4208,29.9598,0,0
20,16,2,0.4208,29.9598,0,0
20,17,2,0.4208,29.8884,0,0
20,18,3,0.4208,10.0304,0,0
20,19,3,0.4208,9.95897,0,0
21,0,3,0.4208,10.0304,0,0
21,1,3,0.4208,29.959,0,0
21,2,3,0.4208,29.659,0,0
21,3,2,0.4208,30.0313,0,0
21,4,2,0.4208,30.0313,0,0
21,5,1,0.4208,30.0313,0,0
21,6,2,0.33664,10.0125,0,0
21,7,3,0.4208,9.88754,0,0
21,8,3,0.4208,29.959,0,0
21,9,3,0.4208,10.0304,0,0
21,10,3,0.4208,29.9591,0,0
21,11,1,0.4208,10.0304,0,0
21,12,2,0.4208,9.88754,0,0
21,13,3,0.4208,9.88754,0,0
21,14,2,0.4208,29.9454,0,0
21,15,2,0.4208,29.9598,0,0
21,16,2,0.4208,29.9598,0,0
21,17,2,0.50496,16.5552,0,0
21,18,3,0.4208,10.0309,0,0
21,19,3,0.4208,9.95897,0,0
22,0,3,0.4208,10.0304,0,0
22,1,3,0.4208,29.959,0,0
22,2,3,0.4208,29.6304,0,0
22,3,2,0.4208,30.0313,0,0
22,4,2,0.4208,30.0313,0,0
22,5,1,0.4208,30.0313,0,0
22,6,2,0.4208,10.0304,0,0
22,7,3,0.4208,9.88754,0,0
22,8,3,0.4208,29.959,0,0
22,9,3,0.4208,10.0304,0,0
22,10,3,0.4208,29.959,0,0
22,11,1,0.4208,10.0304,0,0
22,12,2,0.4208,9.88754,0,0
22,13,3,0.4208,9.88754,0,0
22,14,2,0.4208,29.9598,0,0
22,15,2,0.4208,29.9598,0,0
22,16,2,0.4208,29.9598,0,0
22,17,2,0.4208,9.88842,0,0
22,18,3,0.4208,10.0313,0,0
22,19,3,0.4208,9.95897,0,0
23,0,3,0.4208,10.0304,0,0
23,1,3,0.50496,13.2924,0,0
23,2,3,0.50496,16.5544,0,0
23,3,2,0.4208,30.0314,0,0
23,4,2,0.4208,30.0313,0,0
23,5,1,0.4208,30.0313,0,0
23,6,2,0.4208,10.0304,0,0
23,7,3,0.4208,9.9304,0,0
23,8,3,0.4208,29.959,0,0
23,9,3,0.4208,10.0304,0,0
23,10,3,0.4208,29.9595,0,0
23,11,1,0.4208,14.0314,0,0
23,12,2,0.4208,9.88754,0,0
23,13,3,0.4208,9.88754,0,0
23,14,2,0.4208,29.9593,0,0
23,15,2,0.4208,29.9598,0,0
23,16,2,0.4208,29.9598,0,0
23,17,2,0.4208,9.88842,0,0
23,18,3,0.4208,10.0313,0,0
23,19,3,0.4208,10.0018,0,0
24,0,3,0.4208,10.0304,0,0
24,1,3,0.4208,9.95897,0,0
24,2,3,0.4208,9.88754,0,0
24,3,2,0.4208,30.0321,0,0
24,4,2,0.4208,30.0313,0,0
24,5,1,0.4208,30.0313,0,0
24,6,2,0.4208,10.0304,0,0
24,7,3,0.4208,9.95897,0,0
24,8,3,0.4208,29.959,0,0
24,9,3,0.4208,10.0304,0,0
24,10,3,0.4208,29.9598,0,0
24,11,1,0.4208,10.0313,0,0
24,12,2,0.4208,9.88754,0,0
24,13,3,0.4208,9.88754,0,0
24,14,2,0.4208,29.959,0,0
24,15,2,0.4208,29.9598,0,0
24,16,2,0.4208,29.9598,0,0
24,17,2,0.4208,9.88842,0,0
24,18,3,0.4208,10.0313,0,0
24,19,3,0.4208,10.0304,0,0
25,0,3,0.4208,10.0304,0,0
25,1,3,0.4208,9.95897,0,0
