round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
25,16,1,12.0433,98.6892,0.0567742
25,17,3,2.55005,690.806,0.485806
25,18,2,0.942592,161.179,0.566452
25,19,3,1.16141,492.625,0.536129
26,0,3,2.90352,462.845,0.428926
26,1,2,0.639616,186.997,0.587213
26,2,3,0.521792,635.494,0.5928
26,3,3,10.1497,169.631,0.0924891
26,4,1,11.0081,101.366,0.0310366
26,5,1,4.03126,249.951,0.362508
26,6,2,1.13616,179.136,0.558038
26,7,2,0.92576,175.165,0.571074
26,8,3,0.54704,179.069,0.589075
26,9,2,0.917344,179.882,0.571074
26,10,2,1.01834,175.812,0.566729
26,11,3,5.23475,364.48,0.372439
26,12,2,12.077,46.2275,0.00806952
26,13,2,1.38864,351.439,0.536934
26,14,2,3.55997,560.433,0.433271
26,15,2,0.774272,178.051,0.573557
26,16,1,12.5567,95.6859,0.0546245
26,17,3,2.92877,638.487,0.500931
26,18,2,0.959424,161.389,0.570453
26,19,3,1.16982,490.098,0.544382
27,0,3,2.97085,456.445,0.436005
27,1,2,0.791104,181.395,0.598086
27,2,3,0.563872,602.517,0.603469
27,3,3,10.4611,172.72,0.0891148
27,4,1,11.5299,97.6993,0.0299043
27,5,1,4.19117,246.488,0.385766
27,6,2,1.28765,177.415,0.567584
27,7,2,1.07725,171.459,0.58134
27,8,3,0.622784,178.934,0.603469
27,9,2,1.08566,174.908,0.581938
27,10,2,1.16982,172.089,0.574163
27,11,3,5.32733,361.139,0.375
27,12,2,12.1948,47.3373,0.00777512
27,13,2,1.57379,328.094,0.547249
27,14,2,3.65254,588.211,0.440789
27,15,2,0.858432,177.478,0.587321
27,16,1,13.07,92.9109,0.0526316
27,17,3,3.45898,564.459,0.519737
27,18,2,0.959424,161.389,0.580742
27,19,3,1.19507,483.564,0.558612
28,0,3,3.01293,452.406,0.452395
28,1,2,0.96784,178.204,0.611656
28,2,3,0.648032,542.839,0.616849
28,3,3,10.7388,175.232,0.0859781
28,4,1,12.0433,94.4045,0.0328909
28,5,1,4.3679,243.441,0.407386
28,6,2,1.41389,176.65,0.582227
28,7,2,1.2624,170.991,0.595499
28,8,3,0.664864,177.706,0.617426
28,9,2,1.25398,171.396,0.595499
28,10,2,1.32131,170.947,0.589152
28,11,3,5.43674,357.157,0.372187
28,12,2,12.3968,49.4441,0.00750144
28,13,2,1.72528,313.992,0.561454
28,14,2,3.7872,593.513,0.450087
28,15,2,1.08566,171.96,0.600115
28,16,1,13.5834,90.3375,0.0530871
28,17,3,3.98918,499.798,0.536642
28,18,1,0.976256,159.275,0.594922
28,19,3,1.2119,479.194,0.572995
29,0,3,3.02976,451.03,0.471014
29,1,2,1.06883,176.808,0.624303
29,2,3,0.690112,521.228,0.629877
29,3,3,10.9829,179.277,0.0886288
29,4,1,12.5483,91.4643,0.0507246
29,5,1,4.54464,240.594,0.426421
29,6,2,1.51488,176.012,0.596433
29,7,2,1.41389,170.52,0.608696
29,8,3,0.698528,177.319,0.630435
29,9,2,1.35498,169.009,0.609253
29,10,2,1.41389,170.235,0.603122
29,11,3,5.4704,355.923,0.365106
29,12,2,12.4893,50.2718,0.00724638
29,13,2,1.79261,308.594,0.576366
29,14,2,3.93027,591.391,0.461538
29,15,2,1.22032,170.86,0.613712
29,16,1,14.0968,88.0078,0.0613155
29,17,3,4.50256,455.403,0.552397
29,18,1,1.06883,160.889,0.608696
29,19,2,1.2119,479.194,0.586957
30,0,3,3.02976,451.03,0.48841
30,1,2,1.07725,176.731,0.634501
30,2,3,0.690112,521.228,0.64097
30,3,3,11.2438,182.215,0.0981132
30,4,1,13.07,88.6571,0.0673854
30,5,1,4.56147,240.199,0.442588
30,6,2,1.54013,175.453,0.609164
30,7,2,1.41389,170.52,0.621024
30,8,3,0.706944,177.229,0.64097
30,9,2,1.36339,169.355,0.622102
30,10,2,1.46438,170.194,0.615094
30,11,3,5.4704,355.923,0.365499
30,12,2,12.4978,50.3665,0.00700809
30,13,2,1.80944,307.254,0.589757
30,14,2,4.02285,594.561,0.470081
30,15,2,1.24557,170.722,0.625876
30,16,1,14.6102,85.8371,0.0625337
30,17,3,4.89811,425.156,0.561186
30,18,1,1.08566,160.408,0.621024
30,19,2,1.2119,479.194,0.598922
31,0,3,3.02976,451.03,0.504175
31,1,2,1.07725,176.731,0.645094
31,2,3,0.690112,521.228,0.651879
31,3,3,11.4121,185.834,0.111169
31,4,1,13.5834,86.0962,0.0866388
31,5,1,4.5783,239.828,0.455115
31,6,2,1.54013,175.453,0.621608
31,7,2,1.41389,170.52,0.632568
31,8,3,0.706944,177.229,0.650835
31,9,2,1.36339,169.355,0.632568
31,10,2,1.46438,170.194,0.626305
31,11,3,5.4704,355.923,0.372651
31,12,2,12.4978,50.3665,0.00678497
31,13,2,1.81786,306.51,0.602296
31,14,2,4.10701,602.345,0.477557
31,15,2,1.24557,170.722,0.637787
31,16,1,15.1236,83.8177,0.0610647
31,17,3,5.22634,408.487,0.567328
31,18,1,1.11091,160.936,0.631002
31,19,2,1.2119,479.194,0.611691
32,0,3,3.03818,450.314,0.519474
32,1,2,1.07725,176.731,0.655033
32,2,3,0.690112,521.228,0.662114
32,3,3,11.5804,190.433,0.123925
32,4,1,14.0547,84.3951,0.111786
